nombre,version,cal_general,cal_acabados,cal_seguridad,cal_equipamiento,cal_Infotenimiento,cal_comportamiento,cal_motor,cal_transmision,cal_consumo,cal_espacio,cal_precio,a_favor,en_contra
Audi TTS ,TTS TFSI Quattro,8.6,10,8.5,10,10,9,9,10,7.5,4,8,"Su diseño ya es todo un ícono.,Es rápido, preciso y fácil de controlar.,Los acabados interiores son dignos del calificativo premium.","Los asientos traseros son casi de adorno.,No lleva de serie ninguna asistencia de conducción.,En México ya no se vende el TT ""a secas"" con versiones más accesibles."
,,,,,,,,,,,,,,
MINI John Cooper Works GP ,GP,8.4,8.5,8,8,10,10,10,10,7,5,7,"Es un MINI muy cercano a un auto de carreras.,Sorprende su capacidad de soportar aceleración lateral.,Está bien diferenciado de un JCW tradicional.","Es demasiado rígido para el día a día.,No lleva cámara de reversa ni llave inteligente.,Es una edición limitada que ya se agotó en México."
,,7.92,"8.7,8.4,8.9","8.1,7.9,8.8","7.4,7.7,8.3","7.5,7.5,10","7.7,9.1,7.5","8.1,7.9,7.9","8.0,8.3,8.3","7.0,7.7,7.9","8.4,8.3,7.9","8.3,9.5,8.8","Lleva la pantalla más grande y Apple CarPlay inalámbrico.,Ofrece la mejor garantía.,Al volante es el más comunicativo de los tres.,El motor turbo marca una diferencia total en desempeño.,Buen rendimiento de combustible. ,Alto nivel de conectividad.,Único de la categoría con asistencias de conducción.,Buenos acabados interiores.,Alto nivel de equipamiento.","El precio ha subido considerablemente.,El rendimiento de combustible puede mejorar.,Espacio interior algo justo en la banca trasera.,Acabados interiores muy sencillos.,El motor produce vibraciones.,La ergonomía tiene margen de mejora.,Al volante es cómodo, pero no propone nada.,La caja CVT no hace mucho por la dinámica.,No lleva calaveras de LED."
,,,,,,,,,,,,,,
CUPRA Ateca ,Limited Edition,9.1,8,10,10,9,10,10,10,8,7.5,8,"Elementos sutiles tanto por dentro como por fuera que lo hacen destacar aún más.,Un manejo adictivo y más parecido al de un hatch que al de un SUV.,Buen nivel de equipo.","Número limitado para México y con todos ya colocados.,Si bien es amplio, no es el más espacioso de todos.,Un precio considerablemente más alto que el de un CUPRA Ateca común."
,,,,,,,,,,,,,,
Hyundai Ioniq ,Limited,8.9,8.5,10,10,8,8,8.5,8.5,10,9,8.5,"Incluye varias asistencias de manejo desde la versión base.,Muy buen rendimiento de combustible.,Una conducción cómoda y sencilla.","El motor de combustión es ruidoso al encenderse.,La conducción es cómoda, pero sin emoción.,Los controles táctiles del tablero no transmiten la misma retroalimentación que botones normales."
Hyundai Grand i10 ,NS,7.6,7,5,7.5,8,7,8,8,10,8,7,"Es muy fácil obtener buen consumo de gasolina.,Espacio interior bien aprovechado.,La suspensión es cómoda para ciudad.","Las bocinas tienen una calidad de sonido básica.,El cinturón de seguridad central trasero es pélvico.,Sólo incluye airbags frontales y no lleva ESC."
Mitsubishi Mirage G4 ,GLS CVT,8.0,6,7,7.5,9,7,8,7,10,10,8,"Espacio interior por encima de la media.,Es muy fácil obtener un buen consumo, incluso con caja automática.,Cuenta con control electrónico de estabildad.","Acabados muy sencillos al interior.,Se extrañan airbags laterales.,Los precios del GLS se acercan a sedanes de categoría superior."
Audi Q3 Sportback ,Select 35 TFSI,8.6,9.5,8,8,8,9.5,9,9,9,8,7.5,"Un buen manejo, cómodo y bien plantado en todo momento.,Calidad de ensambles en general.","Hay elementos de seguridad que ya deberían ser de serie y no opcionales como la cámara de reversa al menos.,La caída del techo limita el espacio a lo alto en la segunda fila de asientos."
,,,,,,,,,,,,,,
Peugeot 2008 ,GT,8.8,10,9,9,8,10,9,9,8.5,8,8,"Nivel de acabados y percepción de calidad.,Manejo que es más comparable con un hatchback compacto que con un SUV,Ergonomía resultado del uso del diseño iCockpit","A pesar de ser de los más grandes de la categoría el aprovechamiento de espacio en la segunda fila puede mejorar.,Por precio nos hubiera gustado ver el freno autónomo de emergencia."
,,,,,,,,,,,,,,
Ford Escape ,Titanium,8.8,7,10,9.5,10,9,8.5,8.5,8,9,8,"Nivel de equipo de seguridad y asistencias.,Sistema Sync 3: fácil de usar, responsivo y con muchas opciones de conectividad,Manejo: gran potencia y un manejo más agradable que la media del segmento","Calidad de ensambles en distintos puntos de la cabina.,No hay opciones más accesibles con menos equipo de confort. "
Mazda 3 Hatchback ,Signature,8.8,9.5,9,9,9,9.5,10,8,8,7,8.5,"Es rápido, pero sigue siendo cómodo.,La combinación de colores y texturas en la cabina es espectacular.,Está muy bien equipado.","Poco espacio en los asientos traseros.,Para bien o para mal, no es un Mazdaspeed.,No hay puertos USB para la banca trasera."
GMC Acadia ,Denali,8.8,9,10,9.5,10,8,9,10,5,9,8,"Su marcha es cómoda y la cabina está bien insonorizado.,El nivel de equipamiento es muy alto.,Es cómodo en las tres filas de asientos.","La versión Denali no puede configurarse con siete asientos.,El consumo de combustible es alto."
Ford Escape ,SE Sport Hybrid,9.2,7,10,8,10,9,10,9,10,10,8.5,"Es fácil obtener un buen consumo de combustible.,Va hasta arriba de asistencias de seguridad.,Manejo cómodo y ágil.","Hay margen de mejora en sus ensambles.,No incluye faros de LED.,Su precio roza los 700,000 pesos."
Buick Encore GX ,Sport Touring,8.7,8.5,10,9.5,10,8,8.5,8,8.5,8,8,"Nivel de asistencias a la conducción de serie.,Opciones de conectividad y facilidad de uso del sistema de infotenimiento.,Espacio en banca trasera y cajuela","Aislamiento de sonido, a veces se cuela mucho el ruido del motor.,Calidad de marcha suave, pero con oportunidad de refinarse un poco más."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FIAT Argo ,HGT,7.9,8,7,8.5,8.5,8,8,7.5,8,8,7.5,"Puesta a punto de chasis pensada en los retos de la región.,Buen nivel de equipamiento tecnológico,Interior atractivo a la vista","La versión más completa sólo lleva 4 bolsas de aire.,No hay faros LED.,La dirección es muy blanda."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
