Nombre,Version,C_General,C_Acabados,C_Seguridad,C_Equipamiento,C_Infotenimiento,C_Comportamiento,C_Motor,C_Transmision,C_Consumo,C_Espacio,C_Precio,Lo_Bueno,Lo_Malo
Audi TTS ,TTS TFSI Quattro,8.6,10,8.5,10,10,9,9,10,7.5,4,8,"Su diseño ya es todo un ícono.,Es rápido, preciso y fácil de controlar.,Los acabados interiores son dignos del calificativo premium.","Los asientos traseros son casi de adorno.,No lleva de serie ninguna asistencia de conducción.,En México ya no se vende el TT ""a secas"" con versiones más accesibles."
Hyundai Ioniq ,Limited,8.9,8.5,10,10,8,8,8.5,8.5,10,9,8.5,"Incluye varias asistencias de manejo desde la versión base.,Muy buen rendimiento de combustible.,Una conducción cómoda y sencilla.","El motor de combustión es ruidoso al encenderse.,La conducción es cómoda, pero sin emoción.,Los controles táctiles del tablero no transmiten la misma retroalimentación que botones normales."
Hyundai Grand i10 ,NS,7.6,7,5,7.5,8,7,8,8,10,8,7,"Es muy fácil obtener buen consumo de gasolina.,Espacio interior bien aprovechado.,La suspensión es cómoda para ciudad.","Las bocinas tienen una calidad de sonido básica.,El cinturón de seguridad central trasero es pélvico.,Sólo incluye airbags frontales y no lleva ESC."
Audi Q3 Sportback ,Select 35 TFSI,8.6,9.5,8,8,8,9.5,9,9,9,8,7.5,"Un buen manejo, cómodo y bien plantado en todo momento.,Calidad de ensambles en general.","Hay elementos de seguridad que ya deberían ser de serie y no opcionales como la cámara de reversa al menos.,La caída del techo limita el espacio a lo alto en la segunda fila de asientos."
Mazda 3 Hatchback ,Signature,8.8,9.5,9,9,9,9.5,10,8,8,7,8.5,"Es rápido, pero sigue siendo cómodo.,La combinación de colores y texturas en la cabina es espectacular.,Está muy bien equipado.","Poco espacio en los asientos traseros.,Para bien o para mal, no es un Mazdaspeed.,No hay puertos USB para la banca trasera."
GMC Acadia ,Denali,8.8,9,10,9.5,10,8,9,10,5,9,8,"Su marcha es cómoda y la cabina está bien insonorizado.,El nivel de equipamiento es muy alto.,Es cómodo en las tres filas de asientos.","La versión Denali no puede configurarse con siete asientos.,El consumo de combustible es alto."
Buick Encore GX ,Sport Touring,8.7,8.5,10,9.5,10,8,8.5,8,8.5,8,8,"Nivel de asistencias a la conducción de serie.,Opciones de conectividad y facilidad de uso del sistema de infotenimiento.,Espacio en banca trasera y cajuela","Aislamiento de sonido, a veces se cuela mucho el ruido del motor.,Calidad de marcha suave, pero con oportunidad de refinarse un poco más."
FIAT Argo ,HGT,7.9,8,7,8.5,8.5,8,8,7.5,8,8,7.5,"Puesta a punto de chasis pensada en los retos de la región.,Buen nivel de equipamiento tecnológico,Interior atractivo a la vista","La versión más completa sólo lleva 4 bolsas de aire.,No hay faros LED.,La dirección es muy blanda."
Chevrolet Corvette ,Z51 Performance Package,8.4,9,9,10,9,9,10,10,4,5,9,"Un deportivo de motor central por 2 millones de pesos.,Es cómodo para usarlo en ciudad.,Los acabados interiores han mejorado mucho.","Poco espacio para equipaje y objetos personales.,El V8 pasa su factura en el consumo urbano.,No ofrece freno autónomo de emergencia."
SEAT Ateca 2021 ,Xperience,8.4,8.5,8,9,9.5,8.5,9,8.5,8,7,,"Un manejo que sin estar enfocado a lo deportivo, entrega mejores sensaciones que la mayoría.,Consumos bajos si se tiene cuidado con el acelerador.,Buen nivel de conectividad y elementos de confort.","El precio no está tan bien balanceado como en otros productos.,Nos hubiera gustado ver la alerta de punto ciego y el freno autónomo de emergencia, al menos en variantes FR y Xperience.,Ciertos elementos de equipo cambian entre las versiones más completas al mismo precio."
Audi Q5 ,45 TFSI S-Line,9.1,8.5,9,10,10,9,9,10,8,8.5,8.5,"Un manejo equilibrado: ágil y cómodo.,El facelift realmente lo rejuveneció.,La gama inicia a precio competitivo.","Hay acabado negro brillante en zonas de uso diario.,Ciertas asistencias son opcionales.,Algunos plásticos cumplen a la vista, pero son rígidos al tacto."
Hyundai Grand i10 Sedán ,GLS TA,7.1,7,5,7,8,7,8,7,7.5,8,7,"Interiores bonitos y bien terminados.,Es muy cómodo para la ciudad.,El espacio interior y la cajuela están bien aprovechados.","La banca trasera es fija.,Ofrece lo mínimo en seguridad, por detrás de la competencia.,La transmisión automática le resta eficiencia. Mejor manual."
