Nombre,Marca,Modelo,C_General,C_Vida,C_Diseño,C_Manejo,C_Performance,A_favor,En_contra
Volkswagen Tiguan Allspace 2.0 TDI 4Motion,Volkswagen,Tiguan Allspace 2.0 TDI 4Motion,8.0,8.1,8.2,8.0,7.9,"Consumo austero,Habitabilidad correcta,Distancias de frenado,Baúl con cinco plazas","Auxilio temporal,Baúl limitado con 7 plazas,Espacio reducido 3ra fila,Precio elevado"
Honda WR-V EX-L,Honda,WR-V EX-L,7.3,7.7,7.4,7.3,7.1,"Confort de marcha ,Espacio interior ,Percepción de calidad ,Multimedia ,Maniobrabilidad","Falta de ESP ,Estética cuestionable ,Consumo urbano ,Prestaciones ,Autonomía limitada"
Toyota Etios Hatchback XLS AT,Toyota,Etios Hatchback XLS AT,7.2,7.3,6.6,7.2,7.5,"Eficiencia del motor,Equilibrio suspensiones,Habitabilidad general,ESP de serie,Garantía","Ubicación instrumental,Multimedia anticuada,Posición de manejo,Distancias de frenado,Caja de 4ta"
Porsche Macan,Porsche,Macan,8.0,8.0,8.5,8.1,8.5,"Prestaciones,Comportamiento general,Equipo de confort,Capacidad de baúl","Garantía limitada,Capacidades off road,Plazas traseras,Precio comparativo"
Volkswagen Tiguan Allspace 1.4 TSI DSG 4×2,Volkswagen,Tiguan Allspace 1.4 TSI DSG 4x2,8.0,8.3,8.1,8.1,7.9,"Eficiencia de los frenos,Consumo promedio,Precio comparativo,Espacio interior,Baúl con cinco plazas","Baúl con 7 plazas,Luces halógenas,Espacio tercera fila,Auxilio temporal,Equipamiento acotado"
Toyota Camry V6 3.5 Automático,Toyota,Camry V6 3.5 AT,8.0,8.4,7.8,7.7,7.7,"Prestaciones,Habitabilidad,Confort urbano,Baúl/auxilio,Multimedia","Consumo,Faltantes de equipamiento,Autonomía,Sin levas,Precio para generalista"
Audi Q2 Sport 1.4 AT,Audi,Q2 Sport 1.4 AT,7.9,7.9,7.9,7.8,8.1,"Diseño juvenil,Motor/caja,Alcance lumínico,Consumo,Instrumental","Auxilio temporal,Precio comparativo,Confort en ciudad,Plazas posteriores,Precio con opcionales"
Chevrolet Onix Plus Premier II AT,Chevrolet,Onix Plus Premier AT,7.9,7.8,7.9,7.5,7.9,"Prestaciones,Desempeño dinámico,Consumos contenidos,Mejoras en seguridad,Habitabilidad posterior,Multimedia y Wifi,Precio competitivo","Comando de caja,Algunos materiales,Capacidad tanque/baúl,Vibraciones en ralentí,Auxilio temporal"
Hyundai Ioniq,Hyundai,Ioniq,7.8,7.9,7.6,8.0,7.8,"Eficiencia,Comportamiento equilibrado,Precio comparativo,Habitabilidad","Sin modo EV,Auxilio temporal,Faltantes de equipamiento"
Jeep Wrangler,Jeep,Wrangler Unlimited Rubicon,7.3,7.6,8.0,7.4,7.6,"Capacidad off road,Look imponente,Calidad general,Modularidad carrocería,Equipamiento de confort","Eficiencia del V6,Precio elevado,Distancia de frenado,Sin ADAS,Rumorosidad"
Renault Logan Intens 1.6 CVT,Renault,Logan Intens 1.6 CVT,7.1,7.2,7.4,6.8,7.0,"Despeje del suelo,Habitabilidad,Multimedia mejorada,Capacidad de baúl,ESP y 4 airbags,Precio competitivo","Asistencia de la dirección,Vibraciones en D (parado),Rigidez de la suspensión,Consumo en ciudad,Calidad materiales,Auxilio temporal"
Volkswagen Amarok V6 258 CV Black Style,Volkswagen,Amarok V6 Black Style,7.8,7.9,7.6,8.2,7.9,"Potencia incrementada,Confort de marcha,Look diferencial,Consumo mixto,Posición de manejo","Sin airbags de cortina,Falta de ADAS,Neumáticos citadinos,Sólo automática"
Audi Q8 55 TFSI 3.0 V6 Quattro,Audi,Q8 55 TFSI 3.0 V6 Quattro,8.2,8.0,8.8,8.1,8.3,"Diseño diferenciador,Presentación general,Comodidad interior,Capacidad de Baúl,Equipamiento de serie,Suspensiones adaptativas","Dirección sobreasistida,Precio con opcionales,Faltan portaobjetos,Dosificación pedal de freno"
Renault Kangoo Stepway 1.6 SCe,Renault,Kangoo Stepway 1.6 SCe,7.2,7.2,7.0,7.0,7.3,"ESP,Tratamiento off road,Incorporación del MediaNAV","Solo airbag frontales,Detalles de calidad,Faltantes de confot"
