nombre,marca,modelo,cal_general,cal_vida,cal_diseño,cal_manejo,cal_performance,a_favor,en_contra
Ford EcoSport Storm,Ford,Ecosport Storm,7.7,7.8,7.9,7.6,7.1,"4x4,Prestaciones,Espacio interior","Consumo urbano,Baúl,Solo opción 4x4"
Volkswagen Tiguan Allspace 2.0 TDI 4Motion,Volkswagen,Tiguan Allspace 2.0 TDI 4Motion,8.0,8.1,8.2,8.0,7.9,"Consumo austero,Habitabilidad correcta,Distancias de frenado,Baúl con cinco plazas","Auxilio temporal,Baúl limitado con 7 plazas,Espacio reducido 3ra fila,Precio elevado"
Mercedes-Benz Clase A 200 Progressive,Mercedes Benz,Clase A 200 Progressive,8,8.2,8,8.2,8,"Precio comparativo ,Multimedia/Equip. ,Motor eficiente,Diseño personal","Sin auxilio ,Despeje conflictivo ,Visib. panorámica ,Garantía limitada"
Honda WR-V EX-L,Honda,WR-V EX-L,7.3,7.7,7.4,7.3,7.1,"Confort de marcha ,Espacio interior ,Percepción de calidad ,Multimedia ,Maniobrabilidad","Falta de ESP ,Estética cuestionable ,Consumo urbano ,Prestaciones ,Autonomía limitada"
Mercedes Benz GLC 350e,Mercedes Benz,GLC 350e,8.1,8.0,8.2,8.2,8.2,"Modo 100% eléctrico,Comportamiento equilibrado,Terminación y materiales,Prestaciones correctas,Emisiones de CO2","Visibilidad posterior,Neumáticos run-flat,Garantía mejorable,Autónomia eléctrica,Capacidad de baúl"
Jaguar XE 2.0 AT,Jaguar,XE 2.0 AT,7.6,8.3,8.0,8.1,8.2,"Diseño exterior,Presentación interior,Prestaciones/Consumo,Insonorización","Auxilio temporal,Precio comparativo,Visibilidad panorámirca,Selectora de caja ""rueda"""
Chery Arrizo5 1.5 Luxury CVT,Chery,Arrizo5 1.5 Luxury CVT,7.3,7.3,7.4,7,7.2,"Diseño,Mejora en calidad,Habitabilidad,Confort de marcha,Equipamiento","Solo dos airbarg,Sin tercer apoyacabeza,Baúl chico,Prestaciones,Maniobrabilidad"
Toyota Etios Hatchback XLS AT,Toyota,Etios Hatchback XLS AT,7.2,7.3,6.6,7.2,7.5,"Eficiencia del motor,Equilibrio suspensiones,Habitabilidad general,ESP de serie,Garantía","Ubicación instrumental,Multimedia anticuada,Posición de manejo,Distancias de frenado,Caja de 4ta"
Porsche Macan,Porsche,Macan,8.0,8.0,8.5,8.1,8.5,"Prestaciones,Comportamiento general,Equipo de confort,Capacidad de baúl","Garantía limitada,Capacidades off road,Plazas traseras,Precio comparativo"
Great Wall Wingle 5 2.0 MT Standard 4×4,Great Wall,Wingle 5 2.0 MT Standard 4x4,6.8,5.6,6.5,6.3,6.8,"Habitabilidad,Seguridad,Dirección eléctrica,Consumos","Confort,Recorridos de caja,Aceleraciones,Volumen de carga"
Peugeot Traveller Allure Plus 2.0 AT,Peugeot,Traveller Allure Plus 2.0 AT,7.3,7.7,7.8,6.4,7.3,"Equipamiento de seguridad,Espacio interior,Motorización,Frenado,Comportamiento dinámico","Eje posterior rígido,Dirección pesada,Precio comparativo,Portón impráctico,Unica versión "
Mercedes Benz-AMG SLC 43 V6,Mercedes Benz,AMG SLC 43 V6,7.8,7.5,7.8,8.3,8.6,"Prestaciones,Motor/Elasticidad,Consumo promedio,Comportamiento dinámico,Equipamiento de serie","Run flat,Visibilidad panorámica,Espacio interior justo,Confort de marcha,Garantía limitada"
Volkswagen Tiguan Allspace 1.4 TSI DSG 4×2,Volkswagen,Tiguan Allspace 1.4 TSI DSG 4x2,8.0,8.3,8.1,8.1,7.9,"Eficiencia de los frenos,Consumo promedio,Precio comparativo,Espacio interior,Baúl con cinco plazas","Baúl con 7 plazas,Luces halógenas,Espacio tercera fila,Auxilio temporal,Equipamiento acotado"
Renault Kangoo Express Confort 5P 1.5 dCi,Renault,Kangoo Express Confort 5P 1.5 dCi,7.1,7,6.6,7.1,6.9,"Consumo,Con ESP,Capacidad de carga,Polivalencia,Frenos","Equipo de audio,Algunas terminaciones,Posición de manejo,Alcance lumínico,Garantía"
Mercedes Benz GLA 250 4Matic AMG,Mercedes Benz,GLA 250 4Matic AMG,8.1,8.0,7.8,7.9,7.9,"Diseño seductor,Equipamiento de serie,Desempeño dinámico,Transmisión,Manejo agradable","Plazas traseras,Run Flat,Selector de caja,Garantía limitada,Visibilidad panorámica"
Toyota Camry V6 3.5 Automático,Toyota,Camry V6 3.5 AT,8.0,8.4,7.8,7.7,7.7,"Prestaciones,Habitabilidad,Confort urbano,Baúl/auxilio,Multimedia","Consumo,Faltantes de equipamiento,Autonomía,Sin levas,Precio para generalista"
Audi Q2 Sport 1.4 AT,Audi,Q2 Sport 1.4 AT,7.9,7.9,7.9,7.8,8.1,"Diseño juvenil,Motor/caja,Alcance lumínico,Consumo,Instrumental","Auxilio temporal,Precio comparativo,Confort en ciudad,Plazas posteriores,Precio con opcionales"
