Nombre,Marca,Puntuacion,Informativo,C_peque_manej,C_deportivo,C_bueno_barato,C_practico,C_ecologico,C_atractivo,Lo_mejor,Lo_peor
 Hyundai i10 ,,"3,6"," «El Hyundai i10 goza de dimensiones muy contenidas para un uso 100% urbano. Su interior permite acomodar cuatro adultos sin problemas. Sus motores gasolina ofrecen fiabilidad y bajo coste de mantenimiento, por ello las grandes exigencias y altas velocidades no son su fuerte.» ",7,1,7.0,4.0,5.0,2.0,"Seguridad, practicidad, maniobrabilidad, aprovechamiento interior","Precio algo elevado, cambio robotizado, sin opción alternativa"
 Renault Grand Scenic ,,"3,4",,1,1,5.0,10.0,2.0,3.0,"Diseño interior y exterior, versatilidad, relación tamaño/equipamiento/precio","Medida de neumáticos única en el mercado, detalles de calidad interior"
 Audi A4 ,,"3,9"," «Es un coche que no le disgusta nadie y desde luego a mí tampoco, no tiene nada que saque de quicio aunque tampoco tiene nada que sorprenda. Su precio desde luego no es manco pero si lo adquieres con motor diésel tienes un coche para muchos años.» ",1,2,1.0,5.0,2.0,3.0,"Calidad de construcción, diseño interior y materiales, tecnología","Estética muy clásica, tacto de conducción por detrás de sus rivales"
 Volkswagen Touran ,,"3,6",,1,1,1.0,5.0,2.0,2.0,"Posibilidad de 7 plazas, espacio interior, volumen de maletero, calidad de construcción, versatilidad interior","Estética cuadrada, precio elevado, diseño sobrio"
 Honda Civic Sedán ,,,,1,3,2.0,6.0,2.0,2.0,,
 Porsche Panamera Sport Turismo ,,,,1,7,1.0,6.0,1.0,8.0,,
 Audi A8 PHEV ,,,,1,2,1.0,6.0,8.0,3.0,,
 Porsche Panamera S E-Hybrid PHEV ,,,,1,5,1.0,5.0,8.0,6.0,"Prestaciones, silencio de marcha, calidad de materiales y acabados, interior espectacular, comportamiento deportivo","Pesa demasiado para poder ser considerado un verdadero deportivo, pero en línea recta te pega al asiento como pocos"
 Audi SQ7 ,,,,1,5,1.0,10.0,1.0,5.0,"Relación prestaciones/consumos en diésel, calidad y diseño interior, espacio, confort, tecnología","Sería la combinación perfecta si el diésel no estuviese condenado a desaparecer, consumos altos en gasolina"
 Porsche 911 Cabrio ,,,,1,8,1.0,1.0,2.0,8.0,"Diseño, calidad insuperable, tecnología de primera",Plazas traseras
 Audi RS6 Avant ,,,,1,7,1.0,8.0,1.0,5.0,"Imagen, calidad, equipamiento, prestaciones","Precio, consumo, dimensiones"
 Porsche Cayenne Turbo ,,,,1,7,1.0,9.0,1.0,5.0,"Prestaciones, tacto al volante, comportamiento, practicidad real","Precio, coste de opciones, consumos y todo lo que tenga que ver con tenerlo y mantenerlo"
 Porsche Panamera Turbo ,,,,1,7,1.0,4.0,1.0,8.0,"Pretastaciones puras, aceleración, comportamiento, exclusividad","Precio, consumo y todo lo que tenga que ver con el coste de mantener este coche funcionando"
 Audi R8 Spyder ,,"4,4",,1,8,1.0,1.0,1.0,10.0,,
 Audi R8 ,,"4,4",,1,8,1.0,1.0,1.0,9.0,,
 Fiat 500C ,,"3,4",,1,1,5.0,1.0,4.0,7.0,"Diseño atractivo, precio ajustado, practicidad","Maletero justo, calidad de algunos plásticos"
 Hyundai Kona HEV ,,"3,6",,1,1,5.0,5.0,7.0,3.0,"Consumos, etiqueta ECO, equipamiento completo","Autonomía eléctrica limitada, precio sin ofertas"
 Volkswagen Passat Variant ,,"4,1",,1,1,1.0,9.0,2.0,5.0,"Calidad de construcción, espacio interior, maletero, gama de motores, estética atractiva","Precio muy elevado, precio de opciones"
 Mazda 6 Wagon ,,"4,0"," «Un familiar para que el conductor disfrute al volante. Deportivo, dinámico, con una posición de conducción perfecta y un tacto de dirección, pedales y sobre todo caja de cambios dignos de un juguete. Un diseño exterior muy atractivo, pero interior algo soso con calidades que ni destacan ni desentonan pueden hacerlo parecer algo gris en parado. En movimiento, brilla con luz propia.» ",1,3,5.0,8.0,2.0,4.0,"Maletero, motores eficientes, comportamiento","Calidad de algunos plásticos, equipamiento cerrado"
 Volkswagen Golf MHEV ,,,,1,2,1.0,5.0,6.0,4.0,"Cualidades innatas del Golf, etiqueta ECO","Diseño algo personal, ergonomía interior peor que la de su antecesor"
 Jeep Renegade TrailHawk ,,,,1,1,1.0,5.0,1.0,3.0,"Diseño rudo, capacidades 4x4, tecnología al servicio del ""off-road""","Terminación del interior, dinámica en carretera, sonoridad"
 Audi A4 Avant ,,"4,1",,1,2,1.0,7.0,2.0,3.0,"Calidad de construcción, diseño interior y materiales, tecnología","Estética muy clásica, tacto de conducción por detrás de sus rivales"
 Audi Q3 Sportback ,,"3,6",,1,2,1.0,7.0,2.0,4.0,"Estética, calidad de acabados, gama variada","Precio elevado, opciones caras, plaza central trasera justa"
 Audi A4 Allroad ,,,,1,2,1.0,7.0,2.0,5.0,"Estética, calidad de acabados, diseño interior, equipamiento completo","Precio muy elevado, opciones caras, tacto de conducción insípido"
 Audi A3 PHEV ,,,,1,3,1.0,4.0,8.0,3.0,"Imagen, tecnología, suavidad, insonorización","Precio, detalles de acabado, peso"
 Audi A5 ,,"3,8",,1,4,1.0,2.0,2.0,5.0,"Calidad de construcción, tecnología, diseño interior","Comportamiento aburrido, precio elevado"
 Audi A6 ,,,,1,2,1.0,6.0,2.0,3.0,"Calidad de construcción, espacio a bordo, materiales del interior, equipamiento","Precio, precio de las opciones, imagen demasiado clásica y convencional"
 Audi A6 Avant ,,,,1,1,1.0,8.0,2.0,3.0,"Imagen, tecnología, acabados, espacio","Precio, algunas opciones mecánicas poco refinadas"
 Volkswagen Touareg ,,,,1,1,1.0,9.0,2.0,3.0,"Tecnología, calidad de construcción, capacidades off-road razonables, agilidad del sistema 4WS","Pantalla central inabarcable de un vistazo, estética insulsa, falta de diferenciación"
 Audi Q5 PHEV ,,,,1,3,1.0,6.0,8.0,4.0,,
 Audi Q7 ,,"4,2",,1,1,1.0,11.0,1.0,5.0,"Espacio interior, calidad de construcción, tecnología, diseño interior","Proporciones exteriores algo raras, precio"
 Porsche Cayenne ,,,,1,5,1.0,9.0,1.0,4.0,"Tacto deportivo, prestaciones, calidad general, tecnología, diseño, practicidad real","Precio, consumos y costes en general fuera del alcance de la gran mayoría"
 Audi A8 ,,," «Viaje Santiago Madrid, con masaje en la espalda y un motor diésel que solamente ronronea. Justo lo que se le puede pedir a un coche de representación como este. Fuera de representar, es una exageración.» ",1,2,1.0,6.0,2.0,3.0,,
 Porsche Macan Turbo ,,,,1,6,1.0,8.0,1.0,4.0,,
 Porsche 911 ,,,,1,8,1.0,1.0,2.0,8.0,"Tradición, personalidad, tecnología, tacto de dirección, sensaciones, sonido, estética","Este es el coche por el que se miden los demás coches, no hay nada que mejorar"
 Kia Picanto ,,"3,4",,9,1,7.0,4.0,5.0,2.0,"Diseño, habitabilidad, posibilidades de equipamiento","Suspensión blanda, caja automática con 4 velocidades"
 Toyota Aygo ,,"3,1",,9,1,5.0,2.0,5.0,2.0,"Precio competitivo, espacio interior razonable","Calidades interiores justas, plataforma antigua, prestaciones limitadas a ciudad"
 Fiat Tipo ,,"3,1",,1,1,7.0,6.0,2.0,2.0,"Precio demoledor, diseño, maletero gigantesco","Acceso al maletero, calidad de algunos plásticos, detalles de acabado"
 Kia Rio ,,"3,4",,3,1,7.0,5.0,4.0,2.0,"Relación valor-precio, equipamiento razonable, maletero","Suspensión blanda, calidad de los plásticos"
 Hyundai i20 ,,"3,5",,2,1,7.0,5.0,4.0,1.0,"Calidad de fabricación, equipamiento, diseño personal","Diseño personal, precio elevado, sin opción diésel"
 Toyota Yaris ,,"4,0",,4,1,5.0,4.0,4.0,2.0,"Equipamiento de seguridad, posibilidad de motor híbrido, diseño","Precios algo altos (híbrido), detalles de acabado, equipo de confort (gasolina)"
 Fiat 500L ,,"3,1"," «¿Se parece a un Fiat 500? No, sólo en el exterior. Por lo demás es un monovolumen sencillo pero útil y diferente por fuera. Motores poco potentes pero suficientes tanto en gasolina como en diésel. » ",1,1,5.0,7.0,2.0,3.0,"Relación espacio/precio, estética atractiva","Percepción de calidad, comportamiento dinámico torpe"
 Kia Ceed Tourer ,,"3,6",,1,1,6.0,7.0,2.0,2.0,"Maletero, garantía, presentación, tecnología","Aspecto de algunos plásticos, línea algo clásica frente al Proceed"
 Renault Mégane ST ,,"3,5",,1,1,5.0,8.0,2.0,2.0,"Maletero, comportamiento, posibilidades de equipamiento","Detalles de acabado, motores básicos algo justos"
 Fiat Panda 4x4 ,,"3,6",,7,1,6.0,3.0,4.0,2.0,"Precio, comportamiento en campo, estética","Calidades interiores, prestaciones limitadas, gama de motores"
 Renault Kadjar ,,"3,4",,1,1,6.0,6.0,2.0,2.0,"Más grande y menos visto que su hermano el Nissan Qashqai, confort de marcha","Tacto de conducción, detalles de calidad interior"
 Toyota Yaris HEV ,,"4,1",,4,1,3.0,4.0,7.0,2.0,"Silencio en modo eléctrico, comodidad, posibilidades de equipamiento","Cambio CVT ruidoso en aceleraciones, interior algo justo, precio elevado"
 Nissan Juke ,,"3,5",,1,2,5.0,7.0,2.0,3.0,"Diseño original, equipamiento disponible, comportamiento","Precio elevado, plazas traseras pequeñas, calidad de algunos plásticos"
 Hyundai i30 CW MHEV ,,"3,6"," «Un coche contenido para quien busque un compacto a precio asequible. Lo mejor, una gama de motores diésel y gasolina amplia y fiable. Lo peor: un interior al que haría falta una renovación.» ",1,1,7.0,9.0,2.0,2.0,"Calidad de construcción, equipamiento completo, tacto de conducción","Gama limitada respecto al cinco puertas, motores diésel ruidosos, precios algo elevados"
 SEAT León ST ,,"4,0"," «El coche para ir a IKEA. 587 litros de maletero sin abatir asientos, y opciones para llevar objetos muy largos. Para quien necesite mucho espacio en el día a día sin renunciar al comportamiento envidiable de un León en carretera. Lee mi prueba del ",1,2,5.0,9.0,2.0,2.0,"Equipamiento completo, opción micro-híbrida, maletero",Detalles de acabado
 Volkswagen T-Cross ,,"3,1",,2,1,1.0,6.0,2.0,3.0,"Modularidad, comportamiento, equipamiento","Detalles de acabado, opciones caras, precio"
 Hyundai Ioniq ,,"3,9",,1,1,5.0,7.0,7.0,3.0,"Relación precio/equipamiento, cambio automático de tacto agradable, eficiencia en ciudad","Plásticos interiores, prestaciones justas"
 Mazda 3 ,,"4,2"," «Calidad y confort para un compacto que siempre debería ser una alternativa. El Mazda 3 destaca por unas mecánicas de última generación, donde los amantes de los motores gasolina encontrarán gran suavidad y ajustados consumos.» ",1,3,5.0,5.0,2.0,3.0,"Diseño, comportamiento, mecánicas eficientes","Plazas traseras, aspecto de algunos plásticos"
 Volkswagen e-up! eléctrico ,,,,8,1,1.0,3.0,10.0,3.0,,
 Audi A1 ,,"4,0"," «Un coche pequeño y premium, que viene para rivalizar con el MINI, aunque su espíritu es distinto: más sobrio y elegante frente al toque retro-cool del MINI. » ",3,2,1.0,5.0,4.0,3.0,"Calidad de acabados, tecnología, diseño interior","Precio elevado, opciones caras, sin diesel"
 Mazda 3 SportSedán ,,"4,1",,1,3,5.0,5.0,2.0,3.0,"Comportamiento, capacidad de maletero, equipamiento","Precio algo elevado, boca de carga del maletero estrecha"
 Toyota Corolla Sedán HEV ,,"3,6",,1,1,5.0,6.0,7.0,3.0,"Calidad de terminación, equipamiento de seguridad, solo motor 122 CV","Cambio CVT, sin opciones de personalización, sin motor HSD 180 CV"
 Mazda CX-30 ,,"3,8",,1,2,1.0,6.0,2.0,4.0,"Motores eficientes, tracción total disponible, equipo muy completo","Sin opciones, motor diésel algo justo"
 Honda Civic ,,"3,4",,1,3,5.0,6.0,2.0,3.0,"Estética muy diferenciada, comportamiento dinámico, tacto de dirección y cambio, anchura interior, calidad de construcción","Interior de materiales sencillos, aprovechamiento de la longitud total"
 Hyundai Ioniq PHEV ,,,,1,1,5.0,6.0,8.0,3.0,"Precio accesible, calidades razonables, confort de marcha, eficiencia en ciudad",Todo el sobrepeso y complejidad que exige llevar motor térmico y baterías grandes
 Toyota C-HR ,,"3,6",,1,2,2.0,5.0,7.0,4.0,"Estética demoledora, diseño interior de vanguardia, plataforma híbrida","Precio algo alto, espacio interior muy justo"
 Toyota Prius Plus ,,"3,6", «El coche de los ,1,1,1.0,1.0,7.0,2.0,"Consumos, silencio de marcha, comportamiento en ciudad","Comportamiento en curva, precio muy elevado, tacto de conducción aburrido, prestaciones anémicas"
 Volkswagen e-Golf eléctrico ,,,,1,2,1.0,5.0,10.0,3.0,Calidad y versatilidad de Volkswagen Golf,"Precio muy elevado, formato térmico para un coche eléctrico"
 Renault Mégane ST PHEV ,,,,1,1,5.0,6.0,8.0,2.0,"Suavidad de marcha, eficiencia, etiqueta CERO","Imagen algo anticuada, falta de tecnologías aplicadas a la conducción"
 Kia Niro PHEV ,,,,1,1,5.0,5.0,8.0,3.0,"Precio competitivo dentro de los PHEV, calidad de construcción, espacio interior","Eficiencia penalizada por el peso cuando circulamos con gasolina, exige un punto de recarga en casa"
 Mazda 6 ,,"4,1", «Uno de los coches que más he disfrutado conduciendo en carretera. Su motor diésel 2.2 SKYACTIV-D de 150 CV tiene un consumo realmente bajo a velocidades contenidas en autopista. » ,1,4,5.0,5.0,2.0,4.0,"habitáculo amplio, comportamiento, motores eficientes","Precio algo elevado, equipamiento cerrado"
 SEAT León ST MHEV ,,,,1,2,5.0,8.0,6.0,2.0,"Diseño, calidad de construcción, espacio","Detalles de acabado, ergonomía de algunos mandos"
 Hyundai Kona eléctrico ,,,,1,1,4.0,5.0,10.0,3.0,"Autonomía elevada, prestaciones impresionantes","Precio elevado, como cualquier eléctrico"
 Audi Q2 ,,"3,4",,1,2,1.0,6.0,2.0,4.0,"Diseño, calidad de construcción, tecnología","Espacio interior, precio elevado, calidad de materiales mejorable"
 Kia e-Soul eléctrico ,,"3,3",,1,1,6.0,5.0,10.0,3.0,"Coste de uso, diseño, garantía, dos mecánicas, autonomía","Precios sin ayudas, ausencia de opciones"
 Volkswagen Golf Variant ,,"3,8",,1,1,1.0,9.0,2.0,3.0,"Solidez, valor de reventa, comportamiento, gama de motores, tacto de conducción, maletero descomunal","Precio elevado frente a la competencia, diseño muy sobrio"
 Hyundai Santa Fe ,,"3,8"," «Un SUV de 7 plazas por menos de 30.000 euros, sin tener en cuenta los descuentos. Conducción comoda y espacio interior son las bazas del Santa Fe, además de un exterior llamativo. De entrada el 2.0 diésel de 150 CV es más que aceptable. » ",1,1,6.0,10.0,2.0,3.0,"Relación calidad/precio, posibilidad de 7 plazas, espacio interior, confort de marcha","Motor de gasolina algo caro, sin opciones"
