nombre,marca,puntuacion,informativo,cal_pequeño_y_manejable,cal_deportivo,cal_bueno_y_barato,cal_practico,cal_ecologico,cal_atractivo,lo_mejor,lo_malo
 MINI ,,"3,9",,5,4,1,2,2,6,"Tacto de conducción, estética en general","Plazas traseras simbólicas, maletero justo, precio elevado"
 Peugeot 308 ,,"3,7"," «Un compacto atrevido pero a la vez elegante, ajustado en precio y con buenos motores gasolina y diésel, que comparte con Citroën. Llama la atención su vanguardista salpicadero en tres niveles distintos y sin apenas botones (todo se controla con su pantalla táctil). Su motor básico gasolina de 82 CV es razonablemente ágil para su potencia.» ",1,2,5,6,2,3,"Tacto de conducción sobresaliente, gama de motores, calidad de construcción","Pantalla táctil central de respuesta lenta y difícil manejo, ausencia de mandos físicos para climatización, espacio interior justo"
 Hyundai i10 ,,"3,6"," «El Hyundai i10 goza de dimensiones muy contenidas para un uso 100% urbano. Su interior permite acomodar cuatro adultos sin problemas. Sus motores gasolina ofrecen fiabilidad y bajo coste de mantenimiento, por ello las grandes exigencias y altas velocidades no son su fuerte.» ",7,1,7,4,5,2,"Seguridad, practicidad, maniobrabilidad, aprovechamiento interior","Precio algo elevado, cambio robotizado, sin opción alternativa"
 Renault Grand Scenic ,,"3,4",,1,1,5,10,2,3,"Diseño interior y exterior, versatilidad, relación tamaño/equipamiento/precio","Medida de neumáticos única en el mercado, detalles de calidad interior"
 Volvo V90 Cross Country ,,,,1,1,1,7,1,7,"Estética muy atractiva, diseño y calidad interior, confort de marcha, tecnología de seguridad","Maletero algo justo para el tamaño del coche, navegador con tendencia a fallar"
 Audi A4 ,,"3,9"," «Es un coche que no le disgusta nadie y desde luego a mí tampoco, no tiene nada que saque de quicio aunque tampoco tiene nada que sorprenda. Su precio desde luego no es manco pero si lo adquieres con motor diésel tienes un coche para muchos años.» ",1,2,1,5,2,3,"Calidad de construcción, diseño interior y materiales, tecnología","Estética muy clásica, tacto de conducción por detrás de sus rivales"
 Volkswagen Touran ,,"3,6",,1,1,1,5,2,2,"Posibilidad de 7 plazas, espacio interior, volumen de maletero, calidad de construcción, versatilidad interior","Estética cuadrada, precio elevado, diseño sobrio"
 Honda Civic Sedán ,,,,1,3,2,6,2,2,,
 BMW Serie 8 Coupé ,,,,1,8,1,2,1,9,,
 Porsche Panamera Sport Turismo ,,,,1,7,1,6,1,8,,
 Audi A8 PHEV ,,,,1,2,1,6,8,3,,
 Porsche Panamera S E-Hybrid PHEV ,,,,1,5,1,5,8,6,"Prestaciones, silencio de marcha, calidad de materiales y acabados, interior espectacular, comportamiento deportivo","Pesa demasiado para poder ser considerado un verdadero deportivo, pero en línea recta te pega al asiento como pocos"
