Nombre,Marca,Puntuacion,Informativo,C_peque_manej,C_deportivo,C_bueno_barato,C_practico,C_ecologico,C_atractivo,Lo_mejor,Lo_peor
Kia Ceed MHEV,Kia,,,1,1,7.0,1.0,6.0,2.0,,
Volkswagen Sharan,Volkswagen,"3,7",Máxima versatilidad para las familias que buscan espacio para siete pasajeros,1,1,5.0,1.0,2.0,2.0,"Espacio y versatilidad interior, 7 plazas reales, puertas correderas, confort de marcha, gama de motores, comportamiento sorprendente","Estética cuadrada, es más caro que un SEAT Alhambra siendo el mismo coche"
Renault Clio HEV,Renault,,,1,1,5.0,1.0,7.0,3.0,,
SEAT León ST,SEAT,"4,0",El SEAT León ST es un familiar de avanzada tecnología por un precio muy razonable,1,2,5.0,1.0,2.0,2.0,"Equipamiento completo, opción micro-híbrida, maletero",Detalles de acabado
Nissan GT-R,Nissan,"4,1",Nadie te dará más prestaciones reales por menos dinero,1,9,3.0,1.0,1.0,9.0,"Relación prestaciones/precio, estética atractiva, nivel tecnológico, practicidad real","Interior obsoleto, puesto de conducción muy alto, modelo algo antiguo frente a la competencia"
Porsche Panamera,Porsche,,,1,5,1.0,1.0,1.0,8.0,"Nivel prestacional, exclusividad, estética, tecnología","Peso elevado, consumos, precio"
Porsche Taycan,Porsche,,,1,7,1.0,1.0,10.0,8.0,"Prestaciones, tecnología, solidez general",Precio inalcanzable para el común de los mortales
Audi A8 PHEV,Audi,,,1,2,1.0,1.0,8.0,3.0,,
Audi SQ7,Audi,,,1,5,1.0,1.0,1.0,5.0,"Relación prestaciones/consumos en diésel, calidad y diseño interior, espacio, confort, tecnología","Sería la combinación perfecta si el diésel no estuviese condenado a desaparecer, consumos altos en gasolina"
Porsche Panamera Sport Turismo,Porsche,,,1,7,1.0,1.0,1.0,8.0,,
Porsche Panamera S E-Hybrid PHEV,Porsche,,,1,5,1.0,1.0,8.0,6.0,"Prestaciones, silencio de marcha, calidad de materiales y acabados, interior espectacular, comportamiento deportivo","Pesa demasiado para poder ser considerado un verdadero deportivo, pero en línea recta te pega al asiento como pocos"
Porsche 911 Cabrio,Porsche,,,1,8,1.0,1.0,2.0,8.0,,
Audi RS6 Avant,Audi,,,1,7,1.0,1.0,1.0,5.0,,
Audi RS7 Sportback,Audi,,,1,7,1.0,1.0,1.0,6.0,,
Porsche Cayenne Turbo,Porsche,,,1,7,1.0,1.0,1.0,5.0,"Prestaciones, tacto al volante, comportamiento, practicidad real","Precio, coste de opciones, consumos y todo lo que tenga que ver con tenerlo y mantenerlo"
Porsche Panamera Turbo,Porsche,,,1,7,1.0,4.0,1.0,8.0,"Pretastaciones puras, aceleración, comportamiento, exclusividad","Precio, consumo y todo lo que tenga que ver con el coste de mantener este coche funcionando"
