nombre,marca,puntuacion,informativo,cal_pequeño_y_manejable,cal_deportivo,cal_bueno_y_barato,cal_practico,cal_ecologico,cal_atractivo,lo_mejor,lo_malo
Kia Ceed MHEV,Kia,,,1,1,7,1,6,2,,
Volkswagen Sharan,Volkswagen,"3,7",Máxima versatilidad para las familias que buscan espacio para siete pasajeros,1,1,5,1,2,2,"Espacio y versatilidad interior, 7 plazas reales, puertas correderas, confort de marcha, gama de motores, comportamiento sorprendente","Estética cuadrada, es más caro que un SEAT Alhambra siendo el mismo coche"
MINI Countryman,MINI,"3,5","Un crossover elevado, pero compacto por fuera y de buena calidad. Diseño a raudales.",1,2,1,7,2,6,"Diseño, calidad de construcción, tacto de conducción, gama de motores",Precio muy elevado
Renault Clio HEV,Renault,,,1,1,5,1,7,3,,
SEAT León ST,SEAT,"4,0",El SEAT León ST es un familiar de avanzada tecnología por un precio muy razonable,1,2,5,1,2,2,"Equipamiento completo, opción micro-híbrida, maletero",Detalles de acabado
Cupra Ateca,Cupra,"3,9",Deportividad y altas prestaciones en formato crossover,1,3,6,1,1,3,"Prestaciones, maletero, amplitud interior, equipo completo, comportamiento dinámico","Confort de suspensión, consumos, aspecto de algunos plásticos"
Peugeot 108,Peugeot,"3,4","El Peugeot 108 es el urbano mínimo, según Peugeot. Altamente personalizable",1,1,5,1,5,2,"Ligereza, agilidad, bajos consumos, posibilidades de equipamiento","Materiales de calidad mediocre, maletero escaso, vibraciones y sonoridad, puertas traseras pequeñas, ausencia de control de velocidad"
Skoda Octavia Combi,Skoda,,,1,1,5,1,2,2,,
Nissan GT-R,Nissan,"4,1",Nadie te dará más prestaciones reales por menos dinero,1,9,3,1,1,9,"Relación prestaciones/precio, estética atractiva, nivel tecnológico, practicidad real","Interior obsoleto, puesto de conducción muy alto, modelo algo antiguo frente a la competencia"
Porsche Panamera,Porsche,,,1,5,1,1,1,8,"Nivel prestacional, exclusividad, estética, tecnología","Peso elevado, consumos, precio"
Porsche Taycan,Porsche,,,1,7,1,1,10,8,"Prestaciones, tecnología, solidez general",Precio inalcanzable para el común de los mortales
BMW Serie 8 Coupé,BMW,,,1,8,1,1,1,9,,
Audi A8 PHEV,Audi,,,1,2,1,1,8,3,,
Audi SQ7,Audi,,,1,5,1,1,1,5,"Relación prestaciones/consumos en diésel, calidad y diseño interior, espacio, confort, tecnología","Sería la combinación perfecta si el diésel no estuviese condenado a desaparecer, consumos altos en gasolina"
Porsche Panamera Sport Turismo,Porsche,,,1,7,1,1,1,8,,
Porsche Panamera S E-Hybrid PHEV,Porsche,,,1,5,1,1,8,6,"Prestaciones, silencio de marcha, calidad de materiales y acabados, interior espectacular, comportamiento deportivo","Pesa demasiado para poder ser considerado un verdadero deportivo, pero en línea recta te pega al asiento como pocos"
